,Hospital,State,City,LocalAddress,Pincode
224,Amarawati Hospital,Haryana,Gurgaon,"Saraswati Enclave Near Power House, Opp. Sec. 10A, Gurgaon-122001, Haryana",122001
225,Amardeep Eye Care,Kerala,Thiruvananthapuram,"Tc 5/608, Gnp.2, Nalini Vilas, Thiruvananthapuram, Kerala",695005
226,Amardeep Nursing Home,Maharashtra,Thane,"101 Ratna Tarang, Old Nagardas Road, Andheri (E)Old Nagardas Road,Andheri (E)",400069
227,Ambaa Hospitals,Andhra Pradesh,Hyderabad,"#9-1-29/23,Opp To Pratap Theatre,Lunger House",500008
228,Ambay Hospital,Uttar Pradesh,Ghaziabad,"1, Lajpat Nagar, Near St. Thomas School.",201005
229,Ambika Hospital,Maharashtra,Solapur,"Murarji Peth, Solapur-413002.",413002
230,Amee Deep Hospital,Gujarat,Baroda,"Gf-12, Narsinhadham Complex, Opp Sangam Bus Stop, Harni Road.",390022
231,American Oncology Institute (A Unit Of Cancer Treatment Services Hyderabad Pvt. Ltd.),Andhra Pradesh,Hyderabad,"No. 1-111/4/B/104, Flat No. B-104, Kondapur, Kothaguda Post, Hyderabad, Andhra Pradesh",500084
232,Amijeet Maternity Hospital,Gujarat,Ahmedabad,"A/4, Shantram Complex, Near Nirnaynagar Garnala.",382481
233,Amin Maternity And Nursing Home,Gujarat,Ahmedabad,"17, Manipushp Society, Opp:Sarathi-2, B/H Goyal Intercitynr. Surdhara Circle",380054
234,Amit Hospital,Orissa,Berhamapur,"Canal Street, Near Radhakrishna & Kuthari Temples Street,Berhampur",760001
235,Amit Jaggi Memorial Hospital,Uttar Pradesh,Agra,"Sector-1, Vibhav Nagar,Agra-282001.",282001
236,Amit Nursing Home,Delhi,Delhi,"A-3 Manak Vihar Ext,Tihar,Tihar",110018
237,Amma Children'S Hospital,Andhra Pradesh,Guntur,"No.137-7-109/D, Old Club Road, Gunturvari Thota, Guntur-522001",522001
238,Amma Hospital,Andhra Pradesh,Vijayawada,"9-64-2,Syed Gulab Street,Kothapet",520001
239,Amma Hospital,Karnataka,Anekal,"32/515,Near Sri Rama Temple",562106
240,Amma Hospital,Tamilnadu,Chennai,"# 1, Sowrastra Nagar7Th Street, Chennai",600094
241,Amma Hospital,Tamilnadu,Krishnagiri,"Bangalore Road, Hosur Town",635109
242,Ammayi Eye Hospital,Tamilnadu,Chennai,"New # 80, 7Th Avenue, Ashoknagar, Chennai-600083",600083
243,Amri Hospitals Ltd,West Bengal,Kolkata,"Jc 16 & 17, Salt Lake City, Sector - Iii, Annexe Build. Kb 24, Salt Lake City, Sector - Iii, Kolkata",700098
244,Amri Medical Center,West Bengal,Kolkata,"97A, Southern Avenue, Opp To Lake Stadium, Kolkata-700029",700029
245,Amrik Nethralaya,Karnataka,Bangalore,"#346, Hrbr 1St Kalyan Nagar,4Th Cross, 7Th B Main.",560043
246,Amrit Medicare Pvt Ltd,Tamilnadu,Chennai,"No.310,Mint Street,Near Sowcarpet, Chennai-600079",600079
247,Amritdhara Hospital Pvt Ltd,Haryana,Karnal,"Chaura Bazar,Near City Police Station",132001
248,Amritsar Hospital,Punjab,Amritsar,100 Ft Road East Mohan Nagar,143001
249,Amrut Hospital & Endoscopy Clinic,Maharashtra,Mumbai,"Dr. Rajendra Prasad Road, Tilak Nagar, Dombivali(E), Thane, Maharashtra",421201
250,Amruth Hospital,Karnataka,Davangere,"#1643, Opp:K.E.B.Office, Vidyarthi Bhavan, Davangere",577003
251,Amrutha Heart Hospital,Andhra Pradesh,Ongole,60 Feet Road Satyanarayanapuramsatyanarayanpuram,523002
252,Amrutha Hospital,Karnataka,Bangalore,# 1 Near Water Tank Jakkur Main Road Amruthahalli Bangalore 560092,560092
253,Amrutha Nursing Home,Andhra Pradesh,Karimnagar,"3-3-168,Savaran Street,Besides Civil Hospital,Karimnagar",505001
254,Amrutha Nursing Home Private Limited,Andhra Pradesh,Gajuwaka,"D.No.10-7-85,Kailash Nagar,Gajuwaka.Gajuwaka",530026
255,Amudha Poly Clinic And Hospital,Tamilnadu,Erode,"101,Athani Road,Sathyamangalam,Erode",638401
256,Amulya Jyoti Eye Foundation,West Bengal,Kolkata,"#105,Manoharpukur Road,",700029
257,Amulya Nursing Home,Andhra Pradesh,Guntur,"Guntur Road, Narasaraopet.",522601
258,Anadiyil Hospital,Kerala,Trivandrum,"Thekkummood Junction, Trivandrm.",695037
259,Anamay Eye Hospital,Gujarat,Ahmedabad,Off.C.G.Road Nr President Hotel Opp. Mahalya Builldingnavrangpura,380009
260,Anamaya Nursing Home,Maharashtra,Pune,"Sn48/1B/5-Gokulnagar,Katraj Kondhwa Road,Kondhawa Budruk",411048
261,Anand Eye Institute Private Limited,Andhra Pradesh,Hyderabad,"4Th Floor,Rata Tycoon,Tarnaka",500017
262,Anand Health Care Ltd,Delhi,Delhi,"21,Community Centre, Preet Viharpreet Vihar",110092
263,Anand Hospital,Delhi,Delhi,"B-52, New Krishna Park, Dholi Piao, Vikas Puri.",110018
264,Anand Hospital,Uttar Pradesh,Allahabad,"11/17 Kasturba Gandhi Marg , Up, Allahabad Muir Road",211001
265,Anand Hospital,Tamilnadu,Chennai,"201, Kamaraj Salai,Manali,Chennaimanali",600068
266,Anand Hospital,Maharashtra,Jamkhed,"Nagar Road, Near S.T Stand,Ahemdnagar",413201
267,Anand Hospital,Maharashtra,Pune,"Shrikrishnapalace,Sn 136,Near Malwadi Police Station Warje,Malwadi",411058
268,Anand Hospital,Maharashtra,Pune,"Balaji Tower,Mahatma Phule Chowke,Chakan",410501
269,Anand Hospital,Maharashtra,Pune,"Sector-26,Plot 113, Hutatma Chowk Pradhikaran, Nigdi Pune-411044",411044
270,Anand Hospital & Eye Centre,Rajasthan,Jaipur,"21, Bharat Mata Lane, Jamna Lal Bajaj Marg, C-Scheme, Jaipur-302001",302001
271,Anand Hospital & Navdeep Eye Centre,Haryana,Panipat,"No.105,Adarsh Nagar Near Head Post Office,",132103
272,Anand Hospital & Research Centre Pvt Ltd,Madhya Pradesh,Indore,"7, Sindhu Nagar, Bhanwarkua Main Road",452001
273,Anand Hospital (Multispeciality),Uttar Pradesh,Azamgarh,"Mukeriganj, Azamgarh, Uttar Pradesh",276001
274,Anand Hospitals,Tamilnadu,Tiruppur,"#97/54,Jg Nagar,2Nd Street,60 Feet Road,",641602
275,Anand Maternity & Nursing Home,Maharashtra,Mumbai,"Saregram Complex, New Link Rd,Dahison (E), Mumbai-400068.",400068
276,Anand Medical Centre,Haryana,Gurgaon,"# 171, Sector 56, Near Kendriya Vihar",122002
277,Anand Medical Foundation Subudh Hospital,Maharashtra,Pune,"145,Kothrod Near Shivaji Statue",411038
278,Anand Multispeciality Hospital,Gujarat,Ahmedabad,"Shubh Complex, Shahibuy, Near Rajsthan Hosptial.",380004
279,Anand Multispeciality Hospital,Gujarat,Ahmedabad,"N.H.8,Hirawati",382350
280,Anand Nirogdham Hospital Pvt Ltd,Uttar Pradesh,Meerut,"#A,1 Damodar Colony,Garh Road,",250004
281,Anand Nursing Home,Uttar Pradesh,Ghaziabad,"Kf-113, New Kavi Nagar.",201002
282,Anand Nursing Home,Maharashtra,Kolhapur,"#1758 B/1, Sakoli Corner, K Ward.",416012
283,Anand Nursing Home,Maharashtra,Mumbai,"Divya Sarjan, 1St Floor, 90 Ft Road, Ganesh Chowk,Charkop,Kandivali West",400067
284,Anand Surgical Hospital Ltd.,Gujarat,Ahmedabad,"5, Janta Chambers, Nr,Saijpur Towernr. Saijpur Tower",382345
285,Anandaloke Hospital & Neurosciences Centre,West Bengal,Siliguri,"2Nd Mile,Sevoke Road,",734001
286,Anande Hospital,Maharashtra,Pune,"Near Old R T O Office,Ramnagar, Chandrapur,Near Old R.T.O. Office.",442402
287,Anandlok Hospital,West Bengal,Kolkata,"Dk-713,Salt Lake City, Sector-Ii, Kolkata.",700091
288,Anandpara Surgical & General Hospital,Maharashtra,Mumbai,"Iqbal House, Rani Sati Marg Off.Pandit Socicitor Lane, Malad (East)Malad (E), Mumbai - 97",400097
289,Anandrishiji Hospital & Medical Research Centre,Maharashtra,Ahmednagar,"124, Anand Rishiji Marg",414001
290,Anant Nursing Home Pvt Ltd,Madhya Pradesh,Jabalpur,"Madan Mahal Station Road,Gate #3,Wright Town",482001
291,Anant Shree Hospital,Madhya Pradesh,Bhopal,"Indrapuri A- Sector, Opp. Bhel Gate # 1,Indrapuri",462021
292,Anantha Lakshmi Kidney & Multispeciality Hospital,Andhra Pradesh,Hyderabad,"H.No.3-9-10/4, Opp To Ramanathapur School, Ramanathapur, Hyderabad-500013",500013
293,Ananthapuri Hospital & Research Institute,Kerala,Trivandrum,"Tc 31/1424, Nh By Pass Road,Chacka ,Thirvvananthapuram,Kerala",695024
294,Ananya Hospital Pvt Ltd,Karnataka,Bangalore,"389/44, 19Th Main,Rajajinagarrajajinagar",560010
295,Anasuya Institute Of Medical Sciences,Andhra Pradesh,Nellore,"16/2/142,Hotel Venkataramana Lane,Pogathota",524001
296,Anbu Hospital,Tamilnadu,Madurai,"No.150/1,Kamarajar Salai,",625009
297,Anbu Hospital,Tamilnadu,Tanjore,"# 4,5, Lakshmivilas Street, Kumbakonam",612001
298,Andhra Hospitals,Andhra Pradesh,Vijayawada,"C.V.R Complex, Prakasamroad, Vijayawada",520002
299,Andhra Mahila Sabha,Tamilnadu,Chennai,"No.11 & 12, Dr.Durgabaideshmukh Road, R.A.Puram,",600028
300,Aneja Hospital & Nursing Home,Haryana,Ambala,"# 48, Mahesh Nagar Opp Water Tank",133001
301,Aneri Surgical & Neurosurgical Hospital,Gujarat,Ahmedabad,"1St Floor, Swami Narayan Complex.",380007
302,Angel Maternity & Nursing Home,West Bengal,Kolkata,"No.3,Komedan Bagan Lane,Near Jora Girja Corporation ,Garage On Ajc Bose Road,",700016
303,Anil Baghi Hospital,Punjab,Ferozepur,"Anil Baghi Road,Ferozepur City",152002
304,Anil Eye Hospital,Maharashtra,Mumbai,"1St Floor, Krishna Smirti, Phadke Road, Dombivli",421201
305,Anitha Nursing Home,Andhra Pradesh,Hyderabad,"No 9-1/3, Sri Ramanagara Colony, Near Uppal Bus Depot, Hyderabad-500098",500098
306,Anjakha Hospital,Tamilnadu,Kanchipuram,"#23,Medavakkam Main Road,Madipakkam",600091
307,Anjali Hospital,Gujarat,Nadiad,"Desai Vago,Nadiad",387001
308,Anjali Hospital,Maharashtra,Pune,#568-Dr.Ambedkar Chowk Opp Delux Cinema Pimpri,411017
309,Ankith Multispeciality Hospitals,Andhra Pradesh,Rangareddy,"Opp Bus Stand,Ibrahimpatnam,Sagar Road",501506
310,Ankur Hospital,Maharashtra,Mumbai,"1St Floor, Kalpatoru,Mathura Das Road,Kandivli (W)Mathuradas Rd, Kandivli (W)",400067
311,Ankur Maternity And Surgical Nursing Home,Maharashtra,Mumbai,"Shree Vijay Chs Ltd,Kanjur Marg East",400042
312,Ankur Nursing Home,Maharashtra,Thane,"Mohan Plaza, Main Road, Opposite Section, Ulhasnagar, Thane-421501",421501
313,Ankur Nursing Home & Pain Clinic,Maharashtra,Pune,"Ashirwad Complex Chindhwad Main Road, Bus Stop Kalewadi Road,Chinchwad",411033
314,Ankura Children'S Hospital ( A Unit Of Ankura Medical & Research Centre Pvt Ltd ),Andhra Pradesh,Kukatpally,"Near Geethejali School, 7Th Phase, Kphb Kukatpalli, Hyderabad",500072
315,Anmmol Orthovision,Maharashtra,Mumbai,"101-102,Manisha Heights,Balrajeshwar Road,Mulund West",400080
316,Annadaneshwara Hospital,Karnataka,Raichur,"Hahe Road, Sindhanur",584128
317,Annai Ent And Head & Neck Care Centre,Tamilnadu,Erode,"#12D,Palaniappa Street,Perundurai Road",638009
318,Annai Hospital,Tamilnadu,Kanyakumari,"5-82/1, Kurumbanai Road, Karungal, Kanyakumari, Tamilnadu",629157
319,Annai Velankanni Nursing Home,Tamilnadu,Tirunelveli,"Post Box No.107, Murugan Kurichi, Palayamkottai.",627002
320,Annamalai Hospital,Tamilnadu,Chennai,"# 27, Govindan Raod, West Mambalam, Near Srinivasa Theatre",600033
321,Annammal Hospital,Tamilnadu,Kuzhithurai,Kuzhithurai,629163
322,Annapoorna Hospital,Andhra Pradesh,Vizag,"47-9-32, 3Rd Lane, Dwarakanagar, Visakahpatnam-530016",530016
323,Annapoorna Orthopaedic & Speciality Hospital,Karnataka,Mysore,"#953, Kantaraj Urs Road, Lakshmipuram, Mysore-570004",570004
324,Annapurna Hospital,Karnataka,Chickmangalur,"K.M. Road, Chikmagalur",577101
325,Annapurna Hospital,Maharashtra,Kheda,"Mina Bazar,Kapadvanj City,",387620
326,Annapurna Laparoscopic Surgery And Trauma Care Center,Orissa,Bhubaneswar,"Plot No-2764/4805, Nageswar Tangi, Old Town, Bhubaneswar, Khurdur, Orissa",751002
327,Annapurna Multi Speciality Hospital,Karnataka,Gangavathi,"Sri Krishnadevaraya Marga-Gangavathi, Koppal Dist, Karnataka-583227, Near Bus Stand",583227
328,Annapurna Multispeciality Hospital,Andhra Pradesh,Gudivada,"10-165, Eluru Road, Gudivada, Krishna-521301, Opp.Bank Of Baroda",521301
329,Ano Surge Hospital & Research Centre,Gujarat,Patan,"Doctor House,Opp Shantaba Hall,Bus Station Road",384265
330,Ansari Hospital,Delhi,Delhi,"Rz-20F/B, Street No-6, Sagarpur Main.",110046
331,Ansuya General Hospital,Gujarat,Ahmedabad,"#4,Daxini Society,Maninagar",380008
332,Anu Hospital,Tamilnadu,Tanjore,"#69,Trichy Road,Very Near To Railway Station",613007
333,Anu Hospitals,Andhra Pradesh,Vijayawada,"33-18-1,Chalasani Venkata Krishwaiah Street Near Puspha Hotel, Krishna Suryaraopet",520002
334,Anuchandra Accident Hospital,Maharashtra,Baramati,"Geetai Building, Cinema Road,",413102
335,Anugraha Hospital,Karnataka,Bangalore,"No 18/2,1St Cross,M.C. Layout,Vijayanagar",560079
336,Anugraha Hospital,Karnataka,Davangere,"# 2698,2Nd Main,2Nd Cross,M.C. B Block",577004
337,Anugraha Nursing Home,Karnataka,Bangalore,"No 2,Vinayaka Circle, Palace Guttahalli Main Road, Bangalore-560003Circle Palace Guttahalli Main",560003
338,Anugrahaa Hospital,Karnataka,Bangalore,"55/3A, Govindana Setty Palya Road Konappana Agrahara Electronic City Infosysbangalore South Taluk",560100
339,Anuj Hospital,Haryana,Faridabad,"#2159 & 2161, Sector-16,Faridabad-121002.",121002
340,Anukrushna Hospitals,Andhra Pradesh,Hyderabad,"10-191/2, Vasanthapuri Colonymalkajgiri",500047
341,Anupam Jyoti Medical Centre,Uttar Pradesh,Noida,"C-38A, Rajat Vihar, Sector-62.",201301
342,Anupama Hospital,Andhra Pradesh,Hyderabad,"16-31/494 & 495, 6Th Phase, Kphb Colony,Kukatpally, Hyderabad-500072",500072
343,Anupama Maternity & Nursing Home,Maharashtra,Mumbai,"1/18, Jaykar Smruti,Aarey Road, Goregaon West.",400062
344,Anupama Surgical & Children Hospital,Andhra Pradesh,Vizag,"47-9-21, Dwarakanagar, Visakha Patnam",530016
345,Anuradha Hospital & Trauma Centre,Haryana,Faridabad,"D-635 60 Fit Road,Ballabhgarh",121004
346,Anuradha Nursing Home,Karnataka,Shimoga,"1St Cross, Raghavendra Extension, Thirthahalli.",577432
347,Anurag Nursing Home,Rajasthan,Jaipur,"60/181,Heerapath,Mansarower",302020
348,Anusha Hospital,Andhra Pradesh,Hyderabad,"12-2-454,Gudi Malkapur,Mehdipatnam",500028
349,Anvitha Hospital,Andhra Pradesh,Hyderabad,"8-3-23A/A/516,517,A-Block Sri Keishna Nagar,Yousufguda",500045
350,Anwar Memorial Hospital,Kerala,Aluva,"Santhosh Lane, Aluva,Ernakulam Dist.",683101
351,Aparna Hospital,Tamilnadu,Coimbatore,"450-D,Palaghat Main Road,Kuniamuthu",641008
352,Aparna Hospitals Pvt Ltd,Andhra Pradesh,Warangal,"#2-5-680,Subedari,Hanamkonda",506001
353,Apex Citi Hospital (A Unit Of Siddhartha Healthcare Pvt Ltd.),Delhi,Delhi,"D-440, West Vinod Nagar, Hanuman Road, I.P. Extension, Delhi-110092, Near Punjab National Bank",110092
354,Apex Hospital,Punjab,Mohali,"Scf-43,44,Ph 3B-2",160060
355,Apex Hospital,Andhra Pradesh,Rajamundry,"75-6-23, Prakash Nagar,East Godavari, Rajamundry.",533103
356,Apex Hospital,Karnataka,Bidar,"Opp Ganesh Maidan, Bidar, Karnataka",585407
357,Apex Hospital,Madhya Pradesh,Gwalior,"#34,Tagore Nagar,Gwalior",474011
358,Apex Hospital,Maharashtra,Mumbai,"A-Wing, Vaishali Heights, Chandavarkar Road, Borivali (W), Mumbai-400092",400092
359,Apex Hospital,Maharashtra,Mumbai,"Gupte Road, Opp.Shivsena Shakha",421202
360,Apex Hospital,Maharashtra,Mumbai,"Parnaka, Shivtirth, Apt. Ground Floor, Kalyan, Thane, Maharashtra.",421301
361,Apex Hospital & Trauma Centre,Haryana,Rewari,"Plot No 5, Sector 6, Dharuhera, Rewari, Haryana",123106
362,Apex Hospital (P) Ltd,Rajasthan,Jaipur,"Sp 4 & 6 , Mia, Malviya Nagar ,Industrial Area, Jaipur",302017
363,Apex Hospital (Steel City Critical Care Pvt Ltd),Andhra Pradesh,Vizag,"16-1-5, Coastal Battery Road, Maharanipeta",530002
364,Apex Institute Of Medical Sciences.,West Bengal,Kolkata,"1219, Survey Park, Santoshpur, Kolkata-700075. Hi-Land Park, Big Bazar",700075
365,Apex Kidney Care Pvt Ltd,Maharashtra,Mira Road,"101, Eden Rose Shopping Complex,Opp. Cinemax Multiplex,Beverly Park, Mira Road (E),Thane",401107
366,Apex Kidney Care Pvt Ltd,Maharashtra,Mumbai,"''Gaurav Plaza, Annex, R.R.T. Road, Mulund (W), Mumbai",400080
367,Apex Kidney Care Pvt Ltd,Maharashtra,Mumbai,"C/O. Sushrut Hospital, 2Nd Fllor, Swastik Park, Near Kach Gujar Hall, Chembur (E). Mumbai",400071
368,Apex Kidney Care Pvt Ltd,Maharashtra,Mumbai,"Abhishek Commericial Complex, 3Rd Floor S.V. Road, Malad, Near Aditi Hotel, Mumbai, Maharashtra.",400064
369,Apex Research Centre & Hospital Pvt Ltd,Madhya Pradesh,Bhopal,"116-117, Sindhi Colony, Berasia Road,",462001
370,Apex Welcare Pvt Ltd ( Apex Hosptial),Uttar Pradesh,Varanasi,"Near Dlw & Hydil, Varanasi-221004",221004
371,Apollo B.G.S Hospitals,Karnataka,Mysore,Adichunchanagiri Roadkuvempunagar Road,570023
372,Apollo Emergency & Clinic,Andhra Pradesh,Hyderabad,16-2-705/5/5Malakpet,500036
373,Apollo Emergency & Clinic,Andhra Pradesh,Hyderabad,"Opp Sai Baba Temple, Bhagyanagar Colony,Kukkatpally Housing Board",500072
374,Apollo Emergency & Clinic,Andhra Pradesh,Hyderabad,"Mehdipatnam, Meeraj Complex, Hyderabad-500028",500028
375,Apollo Emergency Hospital,Andhra Pradesh,Hyderabad,"3-5-836 Hyderguda, Hyderabad 500029",500029
376,Apollo First Med Hospitals,Tamilnadu,Chennai,"No 154, Poonamallee High Road, Near Neyveli House, Kilpauk, Chennai - 6000No 154, Poonamallee High Road, Near Neyveli House, Kilpauk, Chennai - 6000",600010
377,Apollo Gleneagles Hospitals Ltd.,West Bengal,Kolkata,"58, Canal Circular Road,Kolkatta-700054",700054
378,Apollo Hospital,Andhra Pradesh,Secunderabad,"Vikrampuri Colony, Rajivi Gandhi Marg, Kharkhana.",500003
379,Apollo Hospital ( T.H.Road-Chennai),Tamilnadu,Chennai,"#645, T.H.Road, Tondiarpet",600081
380,Apollo Hospital (Kakinada),Andhra Pradesh,Eastgodavari,"13-1-3, Main Road, Kakinada - 533001",533001
381,Apollo Hospital International Ltd,Gujarat,Gandhinagar,"Plot No.1A, Gidc Estate-Bhat, Gandhinagar-382428",382428
382,Apollo Hospital- Basheerbagh,Andhra Pradesh,Hyderabad,"Skylane Theatre Lane, Basheerbagh, Hyderabad-500016Basheerbagh",500016
383,Apollo Hospitals,Andhra Pradesh,Hyderabad,"Jubilee Hills, Hyderabad-500033",500033
384,Apollo Hospitals,Andhra Pradesh,Secunderabad,#9-1-87/1 Next To Keys High School St. Johns Road,500003
385,Apollo Hospitals,Andhra Pradesh,Vizag,"Waltair Main Road, Vishakapatnam-530002",530017
386,Apollo Hospitals,Karnataka,Bangalore,"No.154/11,Opp To Iimb,Bannerghatta Road,",560076
387,Apollo Hospitals (Greams Road-Chennai),Tamilnadu,Chennai,"#21, Greams Lane,Greams Road, Chennai-600006",600006
388,Apollo Hospitals Bilaspur,Chattisgarh,Bilaspur,"Seepat Road,Bilaspur(C.G)",495006
389,Apollo Hospitals Enterprise Ltd,Orissa,Khurda,"Plt # 251,Sainik School Road,",751005
390,Apollo Hospitals Enterprise Ltd,Andhra Pradesh,Hyderabad,"Dmrl Cross Road, Santhosh Nagar,Kanchanbag, Hyderabad -500058",500058
391,Apollo Hospitals Karaikudi,Tamilnadu,Karaikudi,"Madurai Main Road, Managiri Village Karaikodi, Tamilnadu-630307, Near, Chettinad Public School",630307
392,Apollo Koramangala Cradle Limited,Karnataka,Bangalore,"#25. 46Th Cross, 5Th Block, Jayanagar, Bangalore, Karnataka",560011
393,Apollo Koramangla Cradle Limited,Karnataka,Bangalore,"No.58, 5Th Cross, 18Th Main Koramangla, 6Th Block, Bangalore, Karnataka.",560095
394,Apollo Nursing Home,Andhra Pradesh,Karimnagar,"H.No.3-3-111,Sawaran Street,Civil Hospital Road",505001
395,Apollo Speciality Hospital (Chennai),Tamilnadu,Chennai,"No 320 5Th Floor, Padma Complex, Anna Salai, Near Lr Swami Building, Nandanam, Chennai, Tamil Nadu",600035
396,Apollo Speciality Hospital (Madurai),Tamilnadu,Madurai,"20,Lake View, Kk Nagar,",625020
397,Apollo Victor Hospital,Goa,Margao,"Malbhat, Margao, South Goa, Salcetemargao",403601
398,Apolo Hospital,Punjab,Amritsar,"#2509/3,Bhushanpura,Inside Suctan Wind Gate",143001
399,Apoorva Health Services Pvt Ltd,Andhra Pradesh,Vizag,"50-17-62, Rajendranagar, Visakhapatnam-530016",530016
400,Apoorva Hospital,Andhra Pradesh,Hyderabad,"46/A, Santoshnagar Colony,Mehdipatnam, Hyderabad-500028",500028
401,Apoorva Hospital,Karnataka,Davangere,"3Rd Main Road, 9Th Cross, J.P. Extention.",577002
402,Apoorva Multispeiality Hospital,Karnataka,Belgaum,"Shreem 4889/90, Off Dr S P M Road, Near Prakash Theatre, Shastrinagar, Belgum- 590002",590002
403,Appasamy Medicare Centre Pvt Ltd,Tamilnadu,Chennai,"23-25, Friends Avenue, Arumbakkam, Chennaiarumbakkam",600106
404,Apple Hospital,Andhra Pradesh,Hyderabad,"Plot # 266,Vivekanandanagar Colony,Kukatpally",500072
405,Apple Hospital,Karnataka,Bangalore,#32 Maruthi Complex M S Nagar Bus Stop Banaswadi Main Road Bangalore,560033
406,Appollo Medical Invstgations & Appollo Nursing Home,Madhya Pradesh,Indore,"# 584, M.G. Road, New Palasiaindore",452001
407,Appusami Hospital,Tamilnadu,Salem,"# 8Z/A, Gandhi Road,Salem-636007.",636007
408,Apulki Vairagade Multispeciality Hospital,Maharashtra,Nagpur,"Manewada Cement Road,Plot # 151,Opp To Navdurga Mandir",440024
409,Arasan Eye Hospital,Tamilnadu,Erode,"#26, Annamalai Layout,Opp To Road Theatre",638011
410,Aravali Hospital,Rajasthan,Udaipur,"# 332, Ambamata Schemeudaipur, Rajasthan",313004
411,Aravind Eye Hospital (Salem),Tamilnadu,Salem,"64, Sankagiri Main Road, Nethimedu, Salem, Tamilnadu-636002, Opposite To Kaliamman Temple",636002
412,Aravind Eye Hospital - Coimbatore,Tamilnadu,Coimbatore,"Avanashi Road, Coimbatore-641014Teelametu",641014
413,Aravind Eye Hospital - Pondicherry,Tamilnadu,Pondicherry,"Cuddalore Main Road,Abishekapakkam Post,Thavalakuppam, Pondicherry-605007Thavalakuppam",605007
414,Aravind Eye Hospital - Theni,Tamilnadu,Theni,"371,Periakulam Road,Allinagaram",625531
415,Aravind Eye Hospital - Tirunelveli,Tamilnadu,Tirunelveli,# 1. S.N. High Road,627001
416,Aravind Eye Hospital Private Limited,Andhra Pradesh,Hyderabad,"# 12-2-824/A/1, Santosh Nagar Colony, Opp:St.Ann'S Womens College, Mehdipatnam. Hyderabad-500028",500028
417,Aravind Eye Hospital- Madhurai,Tamilnadu,Madurai,"1- Anna Nagar, Madurai-625020Madhurai",625020
418,Aravind Eye Hospital-Tirupur,Tamilnadu,Tirupur,"Dharapuram Main Road, K. Chettipalayam, Tirupur, Tamilnadu",641608
419,Aravind Multispeciality Hospital,Andhra Pradesh,Hyderabad,Opp Police Station Hayata Nagar Opp Police Station,501505
420,Aravind Nethralaya Meenakshi Hospital,Andhra Pradesh,Nellore,"16-2-269, Swathantra Park Street,Near Saibaba Temple, Gandhi Nagar,Nellore",524001
421,Aravind Sai Eye Hospital,Tamilnadu,Chennai,"# 1, Ganesan Street,Pammal Main Road Krishna Nagar",600075
422,Aravinda Hospital,Karnataka,Mysore,"#644,4Th Main, Aravinda Nagar,",570023
423,Aravindam Orthopaedic And Physiotherapy Centre,Andhra Pradesh,Rajamundry,"D.No-6-18-3, Kokkondavari Street, T Nagar.Rajahundry-1",533101
424,Archana Hospital,Rajasthan,Jaipur,"Airport Circlr, Sanganer",302011
425,Archana Hospital,Andhra Pradesh,Himayatnagar,Ram Nagar,560048
426,Archana Hospital,Karnataka,Mandya,"K.R. Road, Ashok Nagar, Mandya-571401Mandya",571401
427,Argade Hospital & Maternity Home,Maharashtra,Pune,"Pune-Nashik Highway,Ambethan Chawk,Chakan Talkhed",410501
428,Arihant Fracture & Orthopaedic Hospital,Gujarat,Ahmedabad,"Upnishad, 1St Floor, Near Shreyas Rly Crossing. Ambavadi.",380015
429,Arihant Heart & Medical Hospital,Gujarat,Ahmedabad,"S-15, Shubh Complex,2Nd Floor, Nr.Rajasthan Hospitalrajasthan Hosp. Road,",380004
430,Arihant Heart Clinic,Maharashtra,Mumbai,"103, Lancelot, Next To Dattani Nagar, S V Road Borivali(West)S.V.Road, Borivili (W),",400092
431,Arihant Hospital,Haryana,Gurgaon,"Hno-122,Block-G,Oriental Villa,Sector-57",122002
432,Arihant Hospital & Research Centre,Madhya Pradesh,Indore,"283-A, Gumasta Nagar",452009
433,Ark Nursing Home,Tamilnadu,Krishnagiri,"29-A, 4Th Cross,Co Operative Colony Near Employment Officeco-Ops Colony",635001
434,Arneja Institute Of Cardialogy Pvt Ltd,Maharashtra,Nagpur,"123, Ramdaspeth Behind Somalwar School",440010
435,Arogyadham,Uttar Pradesh,Bareilly,"B-51, Rajendranagar",243122
436,Arogyalayam Hospital,Kerala,Aluva,"Arogayalayam Junction, By-Pass, Aluva, Ernakulam, Kerala-683101",683101
437,Arogyam Superspeciality Hospital,Maharashtra,Nagpur,"#34, Sita Nagar Wardha Road Opp Green Wally Lawns",440025
438,Arogyaseva Medical Academy Of India,Maharashtra,Pune,"32/2A,Erandwanabehind Mehendale Garage",411004
439,Arokya Hospital,Tamilnadu,Chennai,"#32, Pillayar Koil Street",600078
440,Arora Hospital,Punjab,Amritsar,G T Roa Chheharta Amritsar-143005,143005
441,Arora Hospital(P) Ltd,Rajasthan,Bharatpur,"# 42, Krishnanagar,Bharatpur,",321001
442,Arpan General Hospital,Maharashtra,Mumbai,"Arpan Shopping Arcade, 1St Floor, C.S.T. Road, Kurla West.",400070
443,Arpan Hospital And Research Center,Madhya Pradesh,Indore,"15/2, Imli Bazar Near Rajnadaindore ( M.P )",452004
444,Arpan Maternity Hospital & Endoscopy Centre,Gujarat,Porbandar,"Uganda Road, Porbandar, Near Railway Station",360575
